,Unnamed: 0,text,label,tidy_tweet,tidy_tweet_tokens,tokens_no_stop
15,24,its melting because you didnt put it in the freezer before you served it you dumb skank! #MKR,sexism,melting because didnt freezer before served dumb skank,"['melt|VERB', 'because|SCONJ', 'do|AUX', 'not|PART', 'freezer|NOUN', 'before|ADP', 'serve|VERB', 'dumb|ADJ']","['melt|VERB', 'freezer|NOUN', 'serve|VERB', 'dumb|ADJ']"
16,25,Wish these blondes were in that How To Get Away With Murder show....#MKR,sexism,wish these blondes were that away with murder show,"['wish|VERB', 'these|DET', 'blonde|NOUN', 'be|AUX', 'that|SCONJ', 'away|ADV', 'with|ADP', 'murder|NOUN', 'show|NOUN']","['wish|VERB', 'blonde|NOUN', 'away|ADV', 'murder|NOUN', 'show|NOUN']"
17,30,jus gonna say it...again....DUMB BITCH! #MKR,sexism,gonna again dumb bitch,"['go|VERB', 'to|PART', 'again|ADV', 'dumb|ADJ', 'bitch|NOUN']","['go|VERB', 'dumb|ADJ', 'bitch|NOUN']"
18,31,shit she knows how to walk.....you go girl...one foot in front of the other.....#MKR,sexism,shit knows walk girl foot front other,"['know|VERB', 'girl|NOUN', 'foot|NOUN', 'front|NOUN', 'other|ADJ']","['know|VERB', 'girl|NOUN', 'foot|NOUN', 'front|NOUN']"
19,32,yeah colin would be looking for more fat in his sausage.... #MKR,sexism,yeah colin would looking more sausage,"['yeah|INTJ', 'would|VERB', 'look|VERB', 'more|ADJ', 'sausage|NOUN']","['yeah|INTJ', 'would|VERB', 'look|VERB', 'sausage|NOUN']"
20,33,yeah colin would be looking for more fat in his sausage.... #MKR,none,yeah colin would looking more sausage,"['yeah|INTJ', 'would|VERB', 'look|VERB', 'more|ADJ', 'sausage|NOUN']","['yeah|INTJ', 'would|VERB', 'look|VERB', 'sausage|NOUN']"
21,34,yeah colin would be looking for more fat in his sausage.... #MKR,sexism,yeah colin would looking more sausage,"['yeah|INTJ', 'would|VERB', 'look|VERB', 'more|ADJ', 'sausage|NOUN']","['yeah|INTJ', 'would|VERB', 'look|VERB', 'sausage|NOUN']"
22,35,yeah colin would be looking for more fat in his sausage.... #MKR,none,yeah colin would looking more sausage,"['yeah|INTJ', 'would|VERB', 'look|VERB', 'more|ADJ', 'sausage|NOUN']","['yeah|INTJ', 'would|VERB', 'look|VERB', 'sausage|NOUN']"
23,40,Sorry but #JessieJ on #thevoiceau is being a real cunt. You're not all that.,sexism,sorry being real cunt that,"['sorry|INTJ', 'be|AUX', 'real|ADJ', 'cunt|NOUN', 'that|DET']","['sorry|INTJ', 'real|ADJ', 'cunt|NOUN']"
24,41,well ya standards are pretty low bitch #MKR,sexism,well standards pretty bitch,"['well|INTJ', 'standard|NOUN', 'pretty|ADV', 'bitch|NOUN']","['well|INTJ', 'standard|NOUN', 'pretty|ADV', 'bitch|NOUN']"
25,42,of course they keep the girls hat cause drama could see that coming a mile off #MKR,sexism,course they keep girls cause drama could that coming mile,"['course|ADV', 'keep|VERB', 'girl|NOUN', 'cause|SCONJ', 'drama|NOUN', 'could|VERB', 'that|DET', 'come|VERB', 'mile|NOUN']","['course|ADV', 'keep|VERB', 'girl|NOUN', 'cause|SCONJ', 'drama|NOUN', 'could|VERB', 'come|VERB', 'mile|NOUN']"
26,43,Cream and crumbs on a plate....work it gurls #MKR,none,cream crumbs plate work gurls,"['cream|NOUN', 'crumb|VERB', 'plate|NOUN', 'work|NOUN', 'gurl|NOUN']","['cream|NOUN', 'crumb|VERB', 'plate|NOUN', 'work|NOUN', 'gurl|NOUN']"
27,44,you're just upset you aren't getting free feeds for the next three months #MKR,none,just upset aren getting free feeds next three months,"['just|ADV', 'upset|ADJ', 'aren|ADV', 'get|VERB', 'free|ADJ', 'feed|NOUN', 'next|ADJ', 'three|NUM', 'month|NOUN']","['upset|ADJ', 'get|VERB', 'free|ADJ', 'feed|NOUN', 'next|ADJ', 'three|NUM', 'month|NOUN']"
28,47,oh fuck im late!!! i missed stupid shit im sure! #MKR,none,fuck late missed stupid shit sure,"['late|ADV', 'miss|VERB', 'shit|NOUN', 'sure|ADJ']","['late|ADV', 'miss|VERB', 'shit|NOUN', 'sure|ADJ']"
29,50,runway?!?!?! 2 boxes put together by the looks of it! #MKR,none,runway boxes together looks,"['box|NOUN', 'together|ADV', 'look|VERB']","['box|NOUN', 'together|ADV', 'look|VERB']"
30,51,bring back the more interesting teams thank god #MKR,none,bring back more interesting teams thank,"['bring|VERB', 'back|ADP', 'more|ADV', 'interesting|ADJ', 'team|NOUN', 'thank|VERB']","['bring|VERB', 'back|ADP', 'interesting|ADJ', 'team|NOUN', 'thank|VERB']"
31,52,oh great another fucking instant round.....#MKR,none,great another fucking instant round,"['great|ADV', 'another|DET', 'fucking|ADJ', 'instant|ADJ', 'round|NOUN']","['great|ADV', 'another|DET', 'fucking|ADJ', 'instant|ADJ', 'round|NOUN']"
32,53,#MKR  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?,racism,lost plot where texan with elephant sized steaks that they have brekkie,"['lose|VERB', 'plot|NOUN', 'where|ADV', 'texan|VERB', 'with|ADP', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'that|DET', 'have|AUX', 'brekkie|NOUN']","['lose|VERB', 'plot|NOUN', 'texan|VERB', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'brekkie|NOUN']"
33,54,#MKR  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?,none,lost plot where texan with elephant sized steaks that they have brekkie,"['lose|VERB', 'plot|NOUN', 'where|ADV', 'texan|VERB', 'with|ADP', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'that|DET', 'have|AUX', 'brekkie|NOUN']","['lose|VERB', 'plot|NOUN', 'texan|VERB', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'brekkie|NOUN']"
34,55,#MKR  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?,racism,lost plot where texan with elephant sized steaks that they have brekkie,"['lose|VERB', 'plot|NOUN', 'where|ADV', 'texan|VERB', 'with|ADP', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'that|DET', 'have|AUX', 'brekkie|NOUN']","['lose|VERB', 'plot|NOUN', 'texan|VERB', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'brekkie|NOUN']"
35,56,#MKR  Lost the plot - where's the big Texan with the elephant sized steaks that they all have for brekkie ?,none,lost plot where texan with elephant sized steaks that they have brekkie,"['lose|VERB', 'plot|NOUN', 'where|ADV', 'texan|VERB', 'with|ADP', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'that|DET', 'have|AUX', 'brekkie|NOUN']","['lose|VERB', 'plot|NOUN', 'texan|VERB', 'elephant|ADJ', 'sized|ADJ', 'steak|NOUN', 'brekkie|NOUN']"
36,58,#MKR  Bloody ads - I read about 300 tweets in the ad break !,none,bloody read about tweets break,"['bloody|ADJ', 'read|VERB', 'about|ADP', 'tweet|NOUN', 'break|VERB']","['bloody|ADJ', 'read|VERB', 'tweet|NOUN', 'break|VERB']"
37,59,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,racism,drasko just said impressed girls cooked half chicken they cooked whole,"['just|ADV', 'say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']","['say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']"
38,60,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,none,drasko just said impressed girls cooked half chicken they cooked whole,"['just|ADV', 'say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']","['say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']"
39,61,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,racism,drasko just said impressed girls cooked half chicken they cooked whole,"['just|ADV', 'say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']","['say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']"
40,62,So Drasko just said he was impressed the girls cooked half a chicken.. They cooked a whole one  #MKR,none,drasko just said impressed girls cooked half chicken they cooked whole,"['just|ADV', 'say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']","['say|VERB', 'impressed|ADJ', 'girl|NOUN', 'cook|VERB', 'half|ADJ', 'chicken|NOUN', 'cook|VERB', 'whole|ADV']"
41,63,I've had better looking shits than these two! #MKR2015 #MKR #killerblondes,sexism,better looking shits than these,"['well|ADJ', 'look|VERB', 'shit|NOUN', 'than|SCONJ', 'these|DET']","['well|ADJ', 'look|VERB', 'shit|NOUN']"
42,65,The face of very ugly promo girls ! Faces like cats arsehole #mkr excited to see them@go down tonight...literally http://t.co/HgoJrfoIeO,sexism,face very ugly promo girls faces like cats arsehole excited them down tonight literally,"['face|NOUN', 'very|ADV', 'ugly|ADJ', 'promo|NOUN', 'girl|NOUN', 'face|VERB', 'like|SCONJ', 'cat|NOUN', 'excite|VERB', 'down|ADP', 'tonight|NOUN', 'literally|ADV']","['face|NOUN', 'ugly|ADJ', 'promo|NOUN', 'girl|NOUN', 'face|VERB', 'like|SCONJ', 'cat|NOUN', 'excite|VERB', 'tonight|NOUN', 'literally|ADV']"
43,66,#mkr deconstructed by girls that have deconstructed brains  ! Nearly brought up my dinner when I saw that crap on the plate,sexism,deconstructed girls that have deconstructed brains nearly brought dinner when that crap plate,"['deconstructed|ADJ', 'girl|NOUN', 'that|DET', 'have|AUX', 'deconstruct|VERB', 'brain|NOUN', 'nearly|ADV', 'bring|VERB', 'dinner|NOUN', 'when|ADV', 'that|DET', 'crap|NOUN', 'plate|NOUN']","['deconstructed|ADJ', 'girl|NOUN', 'deconstruct|VERB', 'brain|NOUN', 'nearly|ADV', 'bring|VERB', 'dinner|NOUN', 'crap|NOUN', 'plate|NOUN']"
44,67,Annie is really excited about eating the carrots cause they match her hair purfectly #ginga #mkr,sexism,annie really excited about eating carrots cause they match hair purfectly,"['really|ADV', 'excited|ADJ', 'about|ADP', 'eat|VERB', 'carrot|NOUN', 'cause|SCONJ', 'match|VERB', 'hair|NOUN', 'purfectly|ADV']","['really|ADV', 'excited|ADJ', 'eat|VERB', 'carrot|NOUN', 'cause|SCONJ', 'match|VERB', 'hair|NOUN', 'purfectly|ADV']"
45,68,"Kat ""I feel like I'm in a dream"" ...yeah you are a dreamer with absolutely no cooking ability  #mkr",sexism,feel like dream yeah dreamer with absolutely cooking ability,"['feel|VERB', 'like|SCONJ', 'dream|NOUN', 'yeah|INTJ', 'dreamer|VERB', 'with|ADP', 'absolutely|ADV', 'cook|VERB', 'ability|NOUN']","['feel|VERB', 'like|SCONJ', 'dream|NOUN', 'yeah|INTJ', 'dreamer|VERB', 'absolutely|ADV', 'cook|VERB', 'ability|NOUN']"
46,69,Someone is going home #mkr ...that obviously cannot cook !,none,someone going home that obviously cannot cook,"['go|VERB', 'home|ADV', 'that|DET', 'obviously|ADV', 'can|VERB', 'not|PART', 'cook|VERB']","['go|VERB', 'home|ADV', 'obviously|ADV', 'cook|VERB']"
47,70,RT @RealtyGC: #MKR. A one? Kat and Andre. How does it feel to be the most despised people in Australia?,none,andre does feel most despised people australia,"['do|AUX', 'feel|VERB', 'most|ADV', 'despised|ADJ', 'people|NOUN']","['feel|VERB', 'despised|ADJ', 'people|NOUN']"
48,71,Where is da SOSE ? Wood of lyked Moore  #mkr,none,where sose wood lyked moore,"['where|ADV', 'sose|ADJ', 'wood|NOUN', 'lyke|VERB']","['sose|ADJ', 'wood|NOUN', 'lyke|VERB']"
49,72,Deconstructed Apple pie...bwilliant #mkr,none,deconstructed apple bwilliant,"['deconstructed|ADJ', 'apple|NOUN', 'bwilliant|ADJ']","['deconstructed|ADJ', 'apple|NOUN', 'bwilliant|ADJ']"
50,73,Mmm Mmm chargrilled potato rosti fried on a Breville....puts fingers down throat  #mkr,none,chargrilled potato rosti fried breville puts fingers down throat,"['chargrille|VERB', 'put|VERB', 'finger|NOUN', 'down|ADV', 'throat|NOUN']","['chargrille|VERB', 'put|VERB', 'finger|NOUN', 'throat|NOUN']"
51,74,Kat is in disbelief that the camping folk don't like they're sloppy food #notabappycamper #mkr http://t.co/zSFAcqJ116,none,disbelief that camping folk like they sloppy food,"['disbelief|NOUN', 'that|SCONJ', 'camp|VERB', 'folk|NOUN', 'like|SCONJ', 'sloppy|VERB', 'food|NOUN']","['disbelief|NOUN', 'camp|VERB', 'folk|NOUN', 'like|SCONJ', 'sloppy|VERB', 'food|NOUN']"
52,76,It's game on...skulls another beer  #mkr,none,game skulls another beer,"['skull|VERB', 'another|DET', 'beer|NOUN']","['skull|VERB', 'another|DET', 'beer|NOUN']"
53,77,RT @Nodonn3: #MKR because 5+ minute add breaks are just the best!,none,because minute breaks just best,"['because|SCONJ', 'minute|NOUN', 'break|NOUN', 'just|ADV', 'best|ADV']","['minute|NOUN', 'break|NOUN', 'best|ADV']"
54,78,@mykitchenrules Elegant and beautiful?Cheap and trashy!Nothing more unattractive than girls banging on about how hot hey are. #mkr #notsassy,sexism,elegant beautiful cheap trashy nothing more unattractive than girls banging about,"['elegant|ADJ', 'beautiful|ADJ', 'cheap|ADJ', 'trashy|NOUN', 'more|ADV', 'unattractive|ADJ', 'than|SCONJ', 'girl|NOUN', 'bang|VERB', 'about|ADP']","['elegant|ADJ', 'beautiful|ADJ', 'cheap|ADJ', 'trashy|NOUN', 'unattractive|ADJ', 'girl|NOUN', 'bang|VERB']"
55,79,@mykitchenrules My god.  You can't use a can opener?  Reminds me of a joke I know.  How do you know a blonde.....? #MKR,sexism,opener reminds joke know know blonde,"['remind|VERB', 'joke|NOUN', 'know|VERB', 'know|VERB', 'blonde|ADJ']","['remind|VERB', 'joke|NOUN', 'know|VERB', 'know|VERB', 'blonde|ADJ']"
56,80,@mykitchenrules Hot pot?  Come on girls  . About as technical as a ham and cheese toastie. #disappointing #MKR,none,come girls about technical cheese toastie,"['come|VERB', 'girl|NOUN', 'about|ADP', 'technical|ADJ', 'cheese|NOUN', 'toastie|NOUN']","['come|VERB', 'girl|NOUN', 'technical|ADJ', 'cheese|NOUN', 'toastie|NOUN']"
57,81,#mkr Omg there restaurant looks like a a little girls room oh my! Gosh,sexism,there restaurant looks like little girls room gosh,"['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']","['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']"
58,82,#mkr Omg there restaurant looks like a a little girls room oh my! Gosh,none,there restaurant looks like little girls room gosh,"['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']","['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']"
59,83,#mkr Omg there restaurant looks like a a little girls room oh my! Gosh,sexism,there restaurant looks like little girls room gosh,"['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']","['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']"
60,84,#mkr Omg there restaurant looks like a a little girls room oh my! Gosh,none,there restaurant looks like little girls room gosh,"['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']","['restaurant|NOUN', 'look|VERB', 'like|SCONJ', 'little|ADJ', 'girl|NOUN', 'room|NOUN', 'gosh|NOUN']"
61,85,#mkr at least there are judging honestly,none,least there judging honestly,"['least|ADJ', 'there|ADV', 'judge|VERB', 'honestly|ADV']","['least|ADJ', 'judge|VERB', 'honestly|ADV']"
62,86,"#mkr if they had to walk up and down there steps to use the loo all night..
2 much effort @Sarah_jane666",none,they walk down there steps night much effort,"['walk|VERB', 'down|ADV', 'there|DET', 'step|NOUN', 'night|NOUN', 'much|ADJ', 'effort|NOUN']","['walk|VERB', 'step|NOUN', 'night|NOUN', 'much|ADJ', 'effort|NOUN']"
63,87,#mkr 3 the girls are gonna be pissed about that,none,girls gonna pissed about that,"['girl|NOUN', 'go|VERB', 'to|PART', 'pissed|VERB', 'about|ADP', 'that|DET']","['girl|NOUN', 'go|VERB', 'pissed|VERB']"
64,88,#mkr well they liked there dessert!,none,well they liked there dessert,"['well|INTJ', 'like|VERB', 'there|ADV', 'dessert|NOUN']","['well|INTJ', 'like|VERB', 'dessert|NOUN']"
65,91,#mkr really wtf? Sass this is ment to be a cooking comp not a run way for you know what's! Whatever,none,really sass this ment cooking comp know what whatever,"['really|ADV', 'sass|VERB', 'this|DET', 'ment|ADJ', 'cooking|NOUN', 'comp|NOUN', 'know|VERB', 'whatever|DET']","['really|ADV', 'sass|VERB', 'ment|ADJ', 'cooking|NOUN', 'comp|NOUN', 'know|VERB', 'whatever|DET']"
66,92,#mkr I love Annie and loyld there like a real life Disney couple it's so adorable,none,love annie loyld there like real life disney couple adorable,"['there|ADV', 'like|SCONJ', 'real|ADJ', 'life|NOUN', 'couple|NOUN', 'adorable|ADJ']","['like|SCONJ', 'real|ADJ', 'life|NOUN', 'couple|NOUN', 'adorable|ADJ']"
67,93,#mkr why would anyone want to eat chicken liver that's just ew no,none,would anyone want chicken liver that just,"['would|VERB', 'want|VERB', 'chicken|NOUN', 'liver|NOUN', 'that|DET', 'just|ADV']","['would|VERB', 'want|VERB', 'chicken|NOUN', 'liver|NOUN']"
68,94,"#mkr ""we cook all the time"" yup they cook so much they don't know how to use a can opener",none,cook time they cook much they know opener,"['time|NOUN', 'cook|VERB', 'much|ADV', 'know|VERB', 'opener|ADJ']","['time|NOUN', 'cook|VERB', 'much|ADV', 'know|VERB', 'opener|ADJ']"
69,95,#mkr the way she flirts with the young boys at Coles........Ohhh no,none,flirts with young boys coles ohhh,"['flirt|NOUN', 'with|ADP', 'young|ADJ', 'boy|NOUN', 'cole|VERB', 'ohhh|ADJ']","['flirt|NOUN', 'young|ADJ', 'boy|NOUN', 'cole|VERB', 'ohhh|ADJ']"
70,96,#mkr the way kat looks at Annie is like she's stearing into her soul it's just creepy,none,looks annie like stearing into soul just creepy,"['look|VERB', 'like|SCONJ', 'steare|VERB', 'into|ADP', 'soul|NOUN', 'just|ADV', 'creepy|ADJ']","['look|VERB', 'like|SCONJ', 'steare|VERB', 'soul|NOUN', 'creepy|ADJ']"
71,99,"#mkr kat is gonna score low for one 
1.there last 
2. She's crazy",none,gonna score there last crazy,"['go|VERB', 'to|PART', 'score|VERB', 'there|ADV', 'last|ADJ', 'crazy|ADJ']","['go|VERB', 'score|VERB', 'last|ADJ', 'crazy|ADJ']"
72,100,"Drasko only likes his mum's hot pot, especially when she's drunk and unconscious #MKR",sexism,drasko only likes especially when drunk unconscious,"['only|ADV', 'like|VERB', 'especially|ADV', 'when|ADV', 'drunk|ADJ', 'unconscious|ADJ']","['like|VERB', 'especially|ADV', 'drunk|ADJ', 'unconscious|ADJ']"
73,101,"Call me crazy, but I like my food constructed. I wouldn't pay for a build it yourself dessert #MKR",none,call crazy like food constructed wouldn build yourself dessert,"['call|VERB', 'crazy|ADJ', 'like|SCONJ', 'food|NOUN', 'construct|VERB', 'build|VERB', 'dessert|VERB']","['call|VERB', 'crazy|ADJ', 'like|SCONJ', 'food|NOUN', 'construct|VERB', 'build|VERB', 'dessert|VERB']"
74,102,"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR",sexism,girls please leftovers waist would really appreciate,"['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']","['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']"
75,103,"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR",none,girls please leftovers waist would really appreciate,"['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']","['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']"
76,104,"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR",sexism,girls please leftovers waist would really appreciate,"['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']","['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']"
77,105,"@mykitchenrules Girls, please don't let the leftovers go to waist. My dog would really appreciate it! #MKR",none,girls please leftovers waist would really appreciate,"['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']","['girl|NOUN', 'please|INTJ', 'leftover|NOUN', 'waist|NOUN', 'would|VERB', 'really|ADV', 'appreciate|VERB']"
78,106,Annie and Lloyd clearly live on planet Mars for most of the year. They are way out of touch with reality. #MKR #mkr2015,none,annie lloyd clearly live planet mars most year they touch with reality,"['clearly|ADV', 'live|VERB', 'planet|NOUN', 'mars|X', 'most|ADJ', 'year|NOUN', 'touch|VERB', 'with|ADP', 'reality|NOUN']","['clearly|ADV', 'live|VERB', 'planet|NOUN', 'mars|X', 'year|NOUN', 'touch|VERB', 'reality|NOUN']"
79,107,Sorry #killerblondes but you are a long LONG way from refined. #mkr,sexism,sorry long long from refined,"['sorry|INTJ', 'long|ADV', 'long|ADV', 'from|ADP', 'refined|ADJ']","['sorry|INTJ', 'long|ADV', 'long|ADV', 'refined|ADJ']"
